Food-Group-Name, Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
GRAIN PRODUCTS - OVERALL ,1 to 8,Both,All ages,19670,98.07807109,204.8229307,2.188315461,171.9394241,2.188315461,396.6084702,5.900845674,481.9654022,7.090254597,3.559395697,0.038219328,2.572551422,0.040054518,7.434010617,0.121603617,9.989862318,0.14068372,208.8366221,2.147222945,174.8137622,2.088706367,398.1930765,5.570504955,483.0352495,7.623400596,3.629312487,0.037798964,2.626773545,0.040145311,7.483568513,0.127836401,10.05532536,0.136704321
GRAIN PRODUCTS - OVERALL ,1 to 8,Both,1-3 Years,1288,99.51029866,145.7516263,5.551806546,127.4758246,5.551806546,251.7182717,13.12353419,324.2602608,43.10202518,10.78660335,0.435096662,9.41119246,0.523492039,19.0054715,1.089923829,24.7290627,3.198263489,146.4688864,5.556663024,128.2660407,5.064083714,254.4972807,12.57058334,324.7751775,43.33385177,10.8437935,0.436703547,9.450421087,0.509804613,19.00661441,1.114759705,24.8403586,3.188675193
GRAIN PRODUCTS - OVERALL ,1 to 8,Both,4-8 Years,1199,99.89531762,198.9158833,5.016785286,170.0371567,5.016785286,350.1484643,16.0800992,420.6655074,17.7962708,8.760236438,0.213203803,7.622370326,0.223063562,15.16750041,0.420116307,19.10045021,1.047307679,199.1243313,5.010951,170.9170536,5.917846685,350.4125326,16.0975447,420.6760567,17.79733285,8.769416472,0.212847488,7.62326987,0.223625049,15.16958687,0.419642674,19.11414143,1.049121071
GRAIN PRODUCTS - OVERALL ,1 to 8,Both,9-13 Years,1962,99.69719613,228.6509478,4.496599605,201.9901759,4.496599605,394.0723382,14.58161599,503.2676919,23.6496134,5.703104913,0.121197624,4.980866025,0.124866972,10.45496675,0.345041483,12.66566456,0.4691629,229.3454146,4.478484403,202.1128969,5.090464687,394.6720984,14.47488955,503.3378352,23.52315861,5.720426586,0.120422972,4.983871312,0.125470966,10.45973679,0.345448848,12.67344247,0.46936316
GRAIN PRODUCTS - OVERALL ,1 to 8,Both,14-18 Years,1890,98.40164634,242.0854151,6.570533463,206.1180049,6.570533463,484.2350239,19.84292591,574.5377794,36.5870156,3.824446449,0.107488934,3.163156592,0.118779632,7.795371856,0.409973455,9.715305612,0.307781448,246.0176471,6.478376347,208.8083277,5.575072762,484.5401033,18.65980907,590.5653087,34.19555464,3.886567544,0.106795116,3.230795293,0.115510365,7.874317111,0.410966893,9.750197918,0.30530298
GRAIN PRODUCTS - OVERALL ,1 to 8,Both,19-30 Years,1849,97.79788723,226.9023095,7.021254186,196.7728236,7.021254186,441.523934,19.42836114,515.7948458,30.46569361,3.241244375,0.104925277,2.615195793,0.140839174,6.142019471,0.403647658,7.985841903,0.269419686,232.0114636,7.20047031,199.3671412,8.946140015,442.2333071,18.71827311,516.9594328,30.93442188,3.3142274,0.106618883,2.662994114,0.153917651,6.273989465,0.422856433,7.990884183,0.252722147
GRAIN PRODUCTS - OVERALL ,1 to 8,Both,31-50 Years,4389,97.42238681,218.5788413,5.06819858,184.1444,5.06819858,426.0042245,15.37522407,511.9681939,15.55525305,2.938743865,0.077608892,2.33426004,0.075650759,6.007579009,0.263993391,7.404816119,0.222539067,224.3620265,5.068218758,189.7369573,5.40520791,430.0347372,15.68820594,513.1601752,16.32583253,3.016497503,0.07802597,2.411124025,0.085557701,6.132068697,0.266598249,7.429759445,0.230379091
GRAIN PRODUCTS - OVERALL ,1 to 8,Both,51-70 Years,4465,97.63225421,183.7011249,3.66507953,154.5563381,3.66507953,355.6158277,10.41546891,437.4172833,13.52690545,2.421174883,0.050210224,1.939961475,0.063313554,4.838850995,0.13153613,5.88801469,0.142778439,188.1561851,3.646819262,158.6877431,3.674106217,357.6587439,9.985425909,439.1187847,13.25144613,2.479892432,0.049794303,1.987240852,0.066009854,4.863922457,0.12282936,5.927749277,0.143154509
GRAIN PRODUCTS - OVERALL ,1 to 8,Both,71+ Years,2628,99.18175281,176.5218405,3.733923176,145.8045232,3.733923176,335.1701171,8.744776033,409.2721774,7.921639674,2.515104969,0.059795403,2.035480059,0.049197473,4.870815699,0.173819009,6.260213777,0.292624841,177.9781416,3.702337234,146.6133272,3.172705186,335.6052252,8.929471885,409.3092486,7.800758498,2.535854527,0.059454529,2.053164318,0.048794911,4.878942886,0.176668038,6.276146732,0.292600247
GRAIN PRODUCTS - OVERALL ,1 to 8,Both,1-18 Years,6339,99.34990466,210.3881745,2.767402186,182.2004323,2.767402186,384.7531944,10.88213871,488.8609301,10.98862724,6.818482781,0.100997821,5.478948941,0.109101586,13.60052685,0.312503216,16.81150353,0.576273151,211.7648479,2.763952614,182.909799,3.227405822,386.6800262,10.8892809,490.9849155,10.70091262,6.863640122,0.101803063,5.516459891,0.106178013,13.6015265,0.304664239,16.85769139,0.57700681
GRAIN PRODUCTS - OVERALL ,1 to 8,Both,19+ Years,13331,97.76569698,203.4560553,2.621264873,169.5625236,2.621264873,397.4540045,6.342245407,481.1942123,8.013449144,2.768455019,0.040223586,2.2195596,0.031916763,5.539835127,0.127860336,7.023113208,0.174792991,208.1057687,2.579153643,172.3176213,2.330638175,399.6479451,5.969025653,481.8012569,8.762870702,2.831724321,0.039771975,2.253920064,0.0315984,5.605447773,0.13091525,7.05413933,0.176272981
GRAIN PRODUCTS - OVERALL ,1 to 8,Male,9-13 Years,1023,99.77496961,233.9099123,6.493223649,213.4699537,6.493223649,401.0960414,18.01885874,495.4898149,31.07602426,5.735648377,0.159827021,5.140205369,0.19467997,10.46265716,0.345027605,12.30426841,0.485964613,234.4374678,6.490936923,213.8036986,9.632727432,401.1384192,17.9522797,498.1307426,30.93599439,5.748584439,0.159778503,5.156444326,0.193673117,10.46494848,0.344976687,12.30796755,0.487022347
GRAIN PRODUCTS - OVERALL ,1 to 8,Male,14-18 Years,900,98.32338089,280.4141759,11.37536848,234.2608091,11.37536848,533.0744121,43.34172397,676.2447701,49.70477948,4.197204424,0.179737426,3.286059731,0.177989505,9.461226969,0.585095783,10.60399308,0.430372671,285.1958236,11.25305567,237.0873495,11.404741,538.8746737,42.95681287,678.0014551,50.34554318,4.268775531,0.179458591,3.337499764,0.179215251,9.468584449,0.555974295,10.60442298,0.432814933
GRAIN PRODUCTS - OVERALL ,1 to 8,Male,19-30 Years,857,97.11346122,258.3027575,11.55638486,226.4458445,11.55638486,465.2308833,28.43140784,576.2692508,32.48012445,3.407911473,0.159282313,3.025573979,0.253784438,6.340282281,0.52713192,7.882734224,0.437206917,265.9803845,11.81362631,230.861909,13.52348618,465.4841092,29.99927842,577.5067993,31.32322865,3.509206067,0.161213968,3.087045789,0.243535183,6.350765841,0.541335663,7.888811484,0.415870067
GRAIN PRODUCTS - OVERALL ,1 to 8,Male,31-50 Years,2005,98.07447544,248.6242787,7.402254355,219.8676509,7.402254355,474.9162763,17.95200018,567.3022028,26.18065757,3.002104393,0.099089103,2.50464851,0.117702922,5.882385581,0.233367544,7.013574581,0.257256176,253.5055911,7.495256567,222.5425851,8.523091587,474.9443354,17.89216668,567.6423438,26.06966033,3.061045577,0.100719791,2.570783594,0.118292143,5.883557961,0.242366838,7.022229994,0.26888117
GRAIN PRODUCTS - OVERALL ,1 to 8,Male,51-70 Years,2151,97.94995135,210.720387,5.880824181,180.0001057,5.880824181,393.2138441,14.39708058,473.0598115,35.09310775,2.492171234,0.069718521,1.974690645,0.077843243,4.790792721,0.171447773,6.100365857,0.25778757,215.1306704,5.99319798,182.2911631,6.458680953,393.4237154,15.31940134,476.0567898,38.26827425,2.544331262,0.071155159,2.012712776,0.082922004,4.820616754,0.176232889,6.103237119,0.268332973
GRAIN PRODUCTS - OVERALL ,1 to 8,Male,71+ Years,1180,98.93855908,199.742299,6.604034773,165.8305364,6.604034773,367.7470436,15.07514799,433.499253,16.3166875,2.547925676,0.0969245,2.09436235,0.076757737,4.82128742,0.264353235,5.855103644,0.352312008,201.885191,6.597889061,167.7253494,6.901781872,368.7365526,15.41041545,433.8196867,16.32369417,2.575260545,0.097201194,2.098348382,0.080953869,4.824600884,0.270852407,5.895671938,0.34898321
GRAIN PRODUCTS - OVERALL ,1 to 8,Male,19+ Years,6193,97.95396583,232.5384171,4.040252565,198.7188716,4.040252565,441.8474522,10.42457827,535.1232971,18.47871348,2.857187496,0.054850361,2.322327047,0.043858343,5.538601006,0.180529576,6.820601317,0.202593522,237.3956124,4.04716329,201.9579249,3.816211847,444.261245,10.22422124,537.8130266,19.28381034,2.916867604,0.054822955,2.363107856,0.049762872,5.613738949,0.176322568,6.899806266,0.193310398
GRAIN PRODUCTS - OVERALL ,1 to 8,Female,9-13 Years,939,99.61534329,223.1161415,6.623128603,196.5086,6.623128603,388.6192453,20.60021869,503.4617934,40.14016697,5.668854487,0.190914065,4.874262656,0.197486753,10.32586663,0.652318618,12.9972633,0.796118927,223.9776867,6.532901132,196.6535242,5.510465221,388.7624218,20.50700407,503.480039,39.87974579,5.690744317,0.188584792,4.887637219,0.195524594,10.33394328,0.656224883,12.99980593,0.788643255
GRAIN PRODUCTS - OVERALL ,1 to 8,Female,14-18 Years,990,98.48439941,201.558944,5.838962198,182.5448753,5.838962198,358.3019291,22.7286973,458.3144668,27.67229555,3.430315124,0.106473831,3.029532789,0.135299164,6.429732101,0.401700297,8.169090607,0.487458737,204.660784,5.872824138,184.5520285,8.095023271,359.4036209,23.4369007,469.1415343,29.43697869,3.483105085,0.106459416,3.076737181,0.139661734,6.481156583,0.409188197,8.176057019,0.488171372
GRAIN PRODUCTS - OVERALL ,1 to 8,Female,19-30 Years,992,98.55575624,192.1324059,8.315734164,159.1743063,8.315734164,398.9798255,24.50977578,458.1520575,30.41830244,3.056692901,0.151349777,2.320211562,0.125130997,5.954594806,0.724814387,8.076143015,0.460359565,194.9479292,8.408100688,162.7427401,8.89636467,400.1429652,23.9573608,458.206936,30.09300394,3.101485918,0.152727064,2.393774325,0.138733433,5.977558394,0.749319198,8.076845973,0.445077236
GRAIN PRODUCTS - OVERALL ,1 to 8,Female,31-50 Years,2384,96.79836223,189.8264748,6.53410461,158.1212401,6.53410461,384.7717086,12.2083746,469.5815321,19.77309825,2.878110196,0.111911545,2.231982228,0.092950558,6.280391772,0.441770975,7.746183007,0.324368152,196.1050481,6.501268081,164.9540914,5.872314562,389.7031583,12.80601021,476.9265513,19.74238267,2.97330464,0.112356269,2.273828649,0.103728457,6.453136472,0.448007903,7.75292185,0.351985095
GRAIN PRODUCTS - OVERALL ,1 to 8,Female,51-70 Years,2314,97.32179384,157.2973302,4.216887525,133.1083987,4.216887525,302.7225633,9.273307136,377.9213035,20.54777572,2.351795747,0.069867844,1.877879368,0.087849862,4.839102664,0.190125417,5.792377868,0.177508825,161.6260079,4.125457416,134.9704835,5.348335803,303.6527603,8.700600571,383.7493081,20.71630397,2.416515001,0.06913371,1.937167681,0.098638844,4.901806788,0.195016099,5.79243315,0.167163714
GRAIN PRODUCTS - OVERALL ,1 to 8,Female,71+ Years,1448,99.37440518,158.1271376,4.0890891,129.4653475,4.0890891,305.3101157,10.61423,378.0685665,16.79788786,2.489105174,0.072436451,1.986207095,0.07544824,4.910223625,0.242555684,6.414910266,0.5008488,159.1226003,4.097931517,130.5040408,5.646845366,305.3786599,10.63666536,378.4453497,16.69273907,2.504774916,0.072512637,1.98922116,0.076254628,4.911080629,0.241717595,6.418175388,0.505773419
GRAIN PRODUCTS - OVERALL ,1 to 8,Female,19+ Years,7138,97.5839348,175.3787971,3.223760081,146.0768558,3.223760081,357.5818768,12.24096871,421.1456235,12.54580902,2.682789189,0.05580615,2.108003549,0.048305629,5.539265336,0.169252495,7.291779284,0.300978934,179.720973,3.174013105,148.9397443,2.958522538,360.9580153,11.58941673,423.4766901,13.48474089,2.749211941,0.055488709,2.168301252,0.045925893,5.574284928,0.162496543,7.383186572,0.30883654
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Both,All ages,19670,75.55210755,92.34152753,1.829077769,46.86967127,1.829077769,245.989333,5.375773088,320.7535992,6.366399735,1.630251235,0.031605525,0.715575429,0.034096433,4.230769195,0.083015355,6.239498519,0.180575416,122.2223053,2.118690893,85.77211304,2.450435197,274.7616591,7.129724571,348.2941387,11.429922,2.158560027,0.037470019,1.32391964,0.047397845,4.988276947,0.130667409,6.916402469,0.171912765
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Both,1-3 Years,1288,81.59037601,71.66376606,4.770095025,44.36236248,4.770095025,164.1852814,11.93887038,215.1024979,23.89277819,5.131194924,0.348037972,3.200844882,0.317205538,12.3969057,0.730707415,15.70230681,1.995048889,87.8336019,5.733811511,64.81804371,7.292174804,185.7822428,14.13559196,231.46 E,38.66928174,6.321875628,0.408771714,4.23772741,0.493824515,13.59182963,0.79542592,16.57 E,3.151756382
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Both,4-8 Years,1199,82.67921734,88.30234656,4.297082435,57.47567528,4.297082435,209.9904871,14.07754024,280.2448535,21.73361676,3.902671651,0.19539099,2.520376607,0.244075235,10.13011575,0.591153278,13.17294064,0.865469722,106.8011399,4.811665433,82.57432364,5.386244899,236.3463242,17.05343391,312.2308722,24.59873618,4.72025713,0.21848331,3.442224465,0.287516103,10.56014749,0.621745175,13.47669092,0.595989345
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Both,9-13 Years,1962,82.98771261,103.0371673,3.856773088,69.63007236,3.856773088,250.7416503,13.93815483,320.3647024,16.63219619,2.60433096,0.104602582,1.594304093,0.126588048,6.648936766,0.491628329,8.515657429,0.483538091,124.1595461,4.140330522,95.18201214,4.950912508,274.0535972,10.41847977,339.9312655,16.15510398,3.138212729,0.112751121,2.292699276,0.138846862,7.544579512,0.439898338,9.039351038,0.542964629
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Both,14-18 Years,1890,80.36925784,118.6436132,5.323731211,74.20691321,5.323731211,308.9202636,23.35320074,446.2225739,29.6761576,1.887826721,0.086088667,1.112755506,0.106846925,5.015174233,0.389434003,6.777409637,0.352517565,147.6231291,5.62129076,111.4222723,6.328116678,333.997291,25.52985653,466.6622629,23.70112241,2.348941339,0.094067642,1.673134606,0.087187866,5.644552126,0.381605522,7.330900453,0.43336636
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Both,19-30 Years,1849,80.4754504,115.9070152,6.047224525,67.9954907,6.047224525,266.2865148,17.54848853,335.9087479,18.71780167,1.675700059,0.087105242,0.965702646,0.098181818,4.050185378,0.191097358,5.486794154,0.479853876,144.0277931,7.189943461,120.3769913,13.22814599,304.9552515,20.50194957,363.4913094,20.12068086,2.082249991,0.100233059,1.487006983,0.145402551,4.362579669,0.243059405,5.67858287,0.537919234
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Both,31-50 Years,4389,74.67797396,105.7248554,4.138653271,59.43755852,4.138653271,276.398641,12.48148623,355.7846997,17.88687615,1.452549834,0.060646677,0.775745019,0.066975422,3.962700623,0.175508582,5.163589403,0.296596248,141.574349,4.583554006,105.93874,5.760638103,313.3286199,11.61404541,390.5158503,18.10789325,1.945084684,0.068319941,1.397005513,0.071797034,4.315894249,0.18082468,5.839385006,0.366065422
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Both,51-70 Years,4465,70.55199153,73.5331577,2.76422499,31.98969992,2.76422499,200.8918406,11.46438361,278.8261554,12.91968034,0.985214886,0.03726053,0.400581141,0.037536281,2.746661079,0.099362069,3.861959489,0.200760958,104.2254883,3.564239881,65.95843205,4.574678176,248.3666862,10.17649487,315.7655479,12.68675828,1.396438094,0.047555371,0.89351267,0.045428447,3.16436755,0.155055539,4.321932487,0.24525229
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Both,71+ Years,2628,72.12992186,56.27481333,2.337352922,21.53043994,2.337352922,164.0062207,7.33577855,229.8157707,15.73584583,0.810203577,0.038616445,0.284282142,0.034360063,2.263394125,0.102754342,3.338090068,0.185362013,78.01868056,2.909628952,45.7369351,2.443743108,195.7124646,9.730659606,277.1448993,20.98094215,1.123255864,0.048941815,0.624652606,0.036090313,2.774644745,0.175446571,3.714192939,0.231350749
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Both,1-18 Years,6339,81.9177342,98.16960189,2.309202627,60.03147514,2.309202627,239.669745,6.485218435,325.5471588,12.45189592,3.159175285,0.085570327,1.76158884,0.075615365,8.152902082,0.294214724,11.3283536,0.339904171,119.8392544,2.487124767,88.36262124,2.884429604,262.5441524,8.096011704,353.5027602,13.64159509,3.859464833,0.093464572,2.522213834,0.086636234,9.299822896,0.341756589,12.06948475,0.393478739
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Both,19+ Years,13331,73.98865062,90.91009843,2.16378601,43.74591696,2.16378601,247.4018038,6.60576089,318.9648868,7.31568995,1.259200019,0.031863341,0.573680144,0.030308298,3.445434659,0.113999695,4.578829942,0.165045885,122.870329,2.552247292,84.26445054,2.963723533,278.5480075,9.414706631,345.3940699,13.80271815,1.701882665,0.037716802,1.118930371,0.036936304,3.973232724,0.084303131,5.163834393,0.184748313
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Male,9-13 Years,1023,82.01616049,100.7941502,5.34867007,61.91942479,5.34867007,244.2049981,14.0506283,328.6434058,29.72438284,2.521566957,0.144064728,1.502027013,0.169744696,5.887180059,0.579463222,8.996829788,0.87122914,122.8954753,5.756887614,94.29026946,8.246662449,265.8771691,14.03274744,356.4620933,24.41707341,3.07447574,0.15492421,2.242994202,0.204890162,6.717658806,0.748407887,10.00608154,1.049697225
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Male,14-18 Years,900,79.66040657,136.8428018,8.981640899,78.98167225,8.981640899,395.9267121,47.55996149,504.3524806,28.32021098,2.068551105,0.140946491,1.127563222,0.145219194,5.736080935,0.589870127,8.06996482,0.608305134,171.7827057,9.422674591,121.4549496,11.12732796,448.3952206,34.4166472,536.5340184,32.38406205,2.59671171,0.154158434,1.699456489,0.129918959,6.358810397,0.54810209,8.520512619,0.607481813
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Male,19-30 Years,857,82.19110237,134.5455904,10.16375873,97.71 E,10.16375873,299.5256717,24.29761217,364.2099939,37.36476802,1.784398048,0.132504288,1.16 E,0.221930603,4.049135571,0.238494293,4.894850406,0.635355625,163.6984862,12.05282294,136.956391,13.06407355,325.2627806,24.48953847,389.9811619,54.33486836,2.171035546,0.155128732,1.747478689,0.186677014,4.353288506,0.272088369,5.574353133,0.871361765
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Male,31-50 Years,2005,75.34139286,117.4825896,6.217447606,71.4587301,6.217447606,298.4777101,17.80250849,412.8560961,22.93900806,1.451652539,0.080556622,0.800336283,0.0948841,3.853780981,0.219591056,5.125049801,0.385269975,155.9336576,7.262028144,116.0025011,8.816544282,342.7245012,25.71757644,432.7373912,19.68865567,1.926766262,0.095712367,1.365346495,0.115063988,4.255335966,0.296996865,5.694284476,0.484464441
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Male,51-70 Years,2151,69.69501027,84.65690517,4.65053055,39.21752156,4.65053055,243.1093535,15.15762708,315.9512495,16.96441927,1.026459969,0.057438465,0.433199794,0.052518419,2.800196246,0.156262769,3.95886613,0.277727314,121.4676701,5.825186162,82.49720745,5.984354696,285.4434303,14.03884942,345.5414466,33.71060558,1.472788317,0.072921799,0.919721077,0.064871939,3.338914114,0.22497703,4.863157233,0.443598938
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Male,71+ Years,1180,75.55371018,65.9751377,4.014509678,30.82468671,4.014509678,183.9237986,12.42401049,266.9066577,25.30339672,0.85338719,0.060178602,0.377814279,0.047805082,2.385488468,0.186490772,3.391022233,0.335440528,87.32216796,5.004026428,52.98444434,3.438239103,214.1642057,19.24773161,303.0805023,25.43437727,1.129510633,0.07584264,0.63155583,0.061782333,2.773971401,0.218981717,3.94851562,0.419566616
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Male,19+ Years,6193,74.72631327,104.1203084,3.431572306,53.65618189,3.431572306,272.7034734,11.72136636,361.237776,17.87229229,1.306087472,0.044613229,0.628784587,0.048344734,3.543581419,0.133522565,4.607219209,0.221788467,139.335535,4.139380545,97.61527846,5.317430487,307.6685325,9.179567792,402.2056598,16.03875877,1.74782806,0.054193698,1.167611775,0.048577869,3.924848336,0.114085701,5.164576091,0.26764393
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Female,9-13 Years,939,84.01022434,105.3978345,5.661593188,76.5320666,5.661593188,257.0742365,22.00845243,319.2581418,18.7437095,2.69143608,0.157897576,1.678708174,0.175446414,7.29299452,0.563510698,8.00153409,0.518958917,125.4583419,6.088373612,96.13103619,7.404826901,275.3571875,17.03196808,322.9973136,16.41558085,3.203700622,0.172158088,2.318649694,0.191794969,7.629921253,0.402500723,8.459809895,0.62673324
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Female,14-18 Years,990,81.11875351,99.40091216,5.369223943,65.6280199,5.369223943,244.7168174,14.22554178,311.9645874,20.90144356,1.696739888,0.093799981,1.013055793,0.165206826,4.2819944,0.317125613,5.660435008,0.402610794,122.5375241,6.085843965,96.06692624,9.98558072,262.5012595,19.5797154,338.1325307,18.17270398,2.091674014,0.108003448,1.617423204,0.111050215,4.596038691,0.489382182,6.096543662,0.382914114
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Female,19-30 Years,992,78.57569872,95.26840962,6.649172894,55.32754723,6.649172894,245.2581677,16.24556337,317.7170679,23.34450141,1.555338126,0.122177125,0.77 E,0.136939,4.16839523,0.381523184,5.604768219,0.650709932,121.2441138,7.338076721,80.3575069,10.49917602,265.787437,22.86899776,330.532933,17.81753176,1.979413676,0.136970347,1.305413434,0.149070526,4.388018725,0.552842202,6.473545917,0.78432745
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Female,31-50 Years,2384,74.04310674,94.47314102,4.937742173,51.25768526,4.937742173,262.1887826,14.4160669,326.9238594,17.40546155,1.453408512,0.083448038,0.748190945,0.091738287,4.062367448,0.254396191,5.342824642,0.455608784,127.5920814,5.457852106,98.08319674,6.098077049,279.0167587,13.88272543,332.7187817,14.84898621,1.962922108,0.094806005,1.446895704,0.08938316,4.344794651,0.255559478,5.965818408,0.441780211
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Female,51-70 Years,2314,71.38945177,62.66279623,3.115621876,26.84005514,3.115621876,172.0181106,7.941094515,236.9885061,14.95004635,0.944909318,0.04875681,0.388902211,0.05266786,2.683200152,0.122365777,3.613111375,0.280591575,87.77598746,4.002116091,56.23615344,4.057970851,196.0478418,13.01195346,255.3774165,15.9114638,1.323597947,0.061692134,0.862386423,0.077862724,3.026688602,0.193236376,4.079175915,0.264182454
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Female,71+ Years,1448,69.41767702,48.59044373,3.057844681,16.84 E,3.057844681,142.6548311,10.12542901,197.3870782,14.25645852,0.775994531,0.054534783,0.251061955,0.033105411,2.169551895,0.127151652,3.264346399,0.225543706,69.99721947,3.812356026,40.27580975,3.488455878,169.8635339,15.16035731,228.9643286,24.32395999,1.117863006,0.070221026,0.623137388,0.062437588,2.766964865,0.288510167,3.671968726,0.274143938
PASTA -  RICE - CEREAL GRAINS AND FLOURS ,1,Female,19+ Years,7138,73.27648204,78.15644114,2.515257657,35.86439081,2.515257657,220.0240731,9.08435673,286.8703647,12.94834382,1.213933025,0.043268472,0.505982864,0.03797571,3.311109312,0.148195313,4.502320844,0.207704585,106.6596525,2.958504882,72.99828043,4.345039874,253.0892008,8.340507299,316.7105472,10.40780161,1.656647524,0.051620521,1.069101779,0.047956391,4.059575077,0.170875888,5.153566262,0.263850841
PASTA,1A,Both,All ages,19670,23.80223948,31.36360543,1.124631639,F,F,130.985882,5.012515553,196.5277406,5.15471339,0.573905137,0.019462152,F,F,2.149758247,0.094005558,3.455140905,0.111081421,131.767456,3.349230802,103.8246313,3.183922973,262.4774596,6.07804024,343.3415122,26.8487273,2.414100196,0.064949644,1.725706526,0.077637728,5.226276371,0.192409856,7.158913474,0.359589716
PASTA,1A,Both,1-3 Years,1288,36.90108581,32.45411436,4.367351963,F,F,108.2702884,6.39506525,133.1544202,8.164924068,2.373342643,0.298856324,F,F,8.050650015,0.755838186,10.51834202,0.701485485,87.94894146,9.724057619,71.08534337,5.661325884,138.96 E,30.66552972,F,F,6.422512414,0.639218409,5.537907963,0.515075229,10.93 E,2.284557124,F,F
PASTA,1A,Both,4-8 Years,1199,31.6833421,35.06231731,2.998951332,F,F,138.4329145,13.77368192,188.2334705,11.92591334,1.5716236,0.13981802,F,F,5.88181322,0.531714818,8.72710521,0.705490341,110.664832,5.750468632,93.94480665,6.538072865,203.1277473,9.073007142,259.6493282,26.13063596,4.96040978,0.280149843,4.155356939,0.389777693,10.20869184,0.733174842,11.18044319,0.582181216
PASTA,1A,Both,9-13 Years,1962,26.70482161,35.61740224,2.641647825,F,F,139.9815724,9.809143697,196.8932874,8.539079829,0.906407797,0.068898145,F,F,3.70135264,0.231205426,5.204355384,0.369979853,133.3744249,6.26772837,125.5127667,10.09198121,262.0961329,21.14376467,328.5559513,31.60739595,3.394172822,0.175338998,2.841834547,0.201122939,6.500849404,0.472629502,8.39760317,0.731453017
PASTA,1A,Both,14-18 Years,1890,28.53837489,43.27761176,4.045189027,F,F,164.0944968,11.6270246,219.8731564,29.47528085,0.685546003,0.061590077,F,F,2.561543639,0.227039765,3.612792188,0.362881358,151.6470784,9.765625342,130.9427394,7.675666805,319.5520585,43.05946319,429.1497305,50.58167162,2.402190052,0.14898326,1.776647967,0.163167526,5.708363234,0.775207795,7.528381011,0.706442412
